"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",-11.864332759346,4.01167499278772,124.657262926162,-118.04658509317,141.432084426923,63.3339992686129,162.078540595769,155.710283044081,NA,NA,NA,NA,NA,NA,51.3618815455422,NA,"No","1p5",0
"0%1p5",-15.2246160321445,3.09260426760791,124.108324613686,-116.422984679447,141.151360826971,63.4919983310552,165.157080739567,160.108876197553,22.82699418,705.7775297,7.974887342,519.1608058,5.866223795,0.841230951,51.5975757910321,27.18837000984,"0%","1p5",-0.919070725179808
"10%1p5",9.34817741723353,5.45757783102701,138.912793493832,-97.5299824951659,138.944628415986,55.8823382867978,171.012810059135,161.94836886908,22.72530802,700.7857254,7.918482773,514.1690015,5.809819226,0.829931085,58.7511261076955,27.0231437544152,"10%","1p5",1.44590283823929
"20%1p5",10.4504124912783,13.1144543941623,115.188640741957,-123.90314536206,139.926745729288,67.7342005455909,169.737158514695,149.075056067866,22.98266308,714.0402341,8.068251232,527.4235102,5.959587685,0.86254936,48.1775817642869,26.5302442957516,"20%","1p5",9.10277940137454
"30%1p5",15.7616273530553,13.5095989039744,118.913587835483,-125.69262009901,138.391435996239,64.905042472326,173.339668997189,151.401578103346,22.87877798,707.432763,7.993590542,520.816039,5.884926995,0.842024716,48.6142967668787,26.5720380389897,"30%","1p5",9.49792391118665
"Noasym2p5",-0.973514696993174,4.86174408684786,183.374905019041,-131.406725282162,224.145107932986,68.1488845511168,187.016683002309,178.153610905328,NA,NA,NA,NA,NA,NA,58.2546398414597,NA,"No","2p5",0
"0%2p5",0.775912589084723,1.12037527198418,203.56816489863,-103.931805841309,237.247695648695,65.0213872222755,189.102840512297,186.9973108218,33.78051519,1068.321469,12.07142903,881.7047448,9.962765478,0.940648792,66.2010355346645,26.9078392792942,"0%","2p5",-3.74136881486368
"10%2p5",3.34657067632829,0.354917425114355,180.594519294981,-135.965500266774,224.980926272112,69.4318273415604,183.972809328311,183.319707199587,33.55281341,1053.874785,11.90818966,867.2580611,9.799526114,0.910384134,57.0490612001464,25.9416356403484,"10%","2p5",-4.50682666173351
"20%2p5",11.4907152729455,5.59734888555204,196.347961775879,-119.585586630938,225.331866708285,64.0049301370228,197.628936360682,186.86220924868,34.54965687,1088.854848,12.30344461,902.2381238,10.19478106,0.925095645,62.1485001406208,24.9747667233616,"20%","2p5",0.735604798704179
"30%2p5",24.3313786953066,8.76583957692232,184.787804135189,-139.09840479855,223.856177825138,67.4553758218036,197.521266870374,180.872689829245,34.11815325,1078.911327,12.19108844,892.2946027,10.08242489,0.940076813,57.0533104029117,25.0876982946854,"30%","2p5",3.90409549007445
