"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",-11.5570734530639,4.01814523497087,73.461523058579,-79.1575109121827,92.3123940942169,70.1917703705347,111.362073908995,115.93750300339,NA,NA,NA,NA,NA,NA,48.1339195690706,NA,"No","1p5",0
"0%1p5",-14.4036701925152,-1.09833418929317,64.0217279597538,-92.3210638664004,88.3948663812398,77.0606676619065,110.677823678018,109.467179802579,25.10837254,508.2155346,8.732225681,382.2204079,6.56736096,0.821881001,40.9495872575584,23.1266736558888,"0%","1p5",-5.11647942426404
"10%1p5",19.7560585110398,16.6630234065982,59.7253902954585,-83.7240438591303,87.616216501826,81.9341214342277,95.4904995834025,112.848973048492,25.02260448,506.7885199,8.707706528,380.7933932,6.542841808,0.824362489,41.6351522384503,23.0088594146927,"10%","1p5",12.6448781716273
"20%1p5",30.8460683879677,19.5998447111132,61.351984172693,-77.7614182143123,87.1964906342473,79.4351797077099,90.9638744740611,110.624805403235,25.29724258,511.6854817,8.791846765,385.690355,6.626982045,0.818801078,44.1021376229556,22.6079002245849,"20%","1p5",15.5816994761424
"30%1p5",32.7328619366303,20.4926471990612,59.4702243769695,-89.4400087998533,87.6994842942625,82.3746737749319,95.2882394864376,116.923975607513,25.94510708,525.0613555,9.021672775,399.0662288,6.856808054,0.821006735,39.9369627649107,21.9761728668388,"30%","1p5",16.4745019640903
"Noasym2p5",10.1121784663483,3.34472780771453,109.630741148264,-94.6881254131133,147.846379724978,75.1843010406897,135.753447116901,131.287203119452,NA,NA,NA,NA,NA,NA,53.656690149723,NA,"No","2p5",0
"0%2p5",6.78174720139967,1.28127914702432,91.4174321378927,-121.144596421404,143.145748190183,87.2436031591649,129.598614854695,127.944200207846,36.25284775,747.9725883,12.85176269,621.9774616,10.68689797,0.905011905,43.0074142392702,23.0146198259257,"0%","2p5",-2.06344866069021
"10%2p5",21.6364218624817,12.4809794256719,90.4700734538407,-124.725638922679,142.939931570771,87.8701471133084,137.628035220176,121.465270705452,37.59279793,781.2785823,13.42403062,655.2834556,11.2591659,0.937149627,42.0408345755275,21.8134504006195,"10%","2p5",9.13625161795734
"20%2p5",32.1982347446899,13.5456182876806,109.072275791551,-85.4673822431178,147.601056146708,75.5806277236943,135.926017190442,118.68167594531,35.92115545,740.5487869,12.72420596,614.5536602,10.55934124,0.901706179,56.0668590113968,24.0176026449298,"20%","2p5",10.2008904799661
"30%2p5",54.6458744170117,27.6447677137772,89.0348166998995,-112.111939460329,144.126840693093,90.2330311876706,134.863389002196,102.190076833042,38.4008392,798.1361362,13.71367932,672.1410095,11.5488146,0.937405837,44.2636105098193,21.4429470387928,"30%","2p5",24.3000399060627
