"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",3.42484944168941,3.93800600375109,87.0783328414001,-93.6696186579163,101.115775477577,64.8554096640689,126.85159057649,121.952628043077,20.89523376,512.0376692,7.388710956,402.5075949,5.808190402,0.894249335,48.1766637569496,25.121457770927,"No","1p5",0
"0%1p5",-11.3493146458023,2.12437114537437,89.799969059145,-86.1415740153261,98.2473866991963,61.0875207285937,125.187209157458,122.556903145097,21.73087669,534.1211556,7.707375982,424.5910812,6.126855429,0.907794905,51.0396620888651,23.1392959130288,"0%","1p5",-1.81363485837672
"10%1p5",38.2012317036684,3.39269093171577,88.0518537643609,-83.652132020756,98.9353499497078,62.7428857285097,127.522132040956,123.230388582805,22.38171382,545.5631844,7.872484623,436.03311,6.291964069,0.870972462,51.2811938300346,22.689870948036,"10%","1p5",-0.545315072035317
"20%1p5",33.5959924402696,17.5304449886051,105.587517921387,-68.7980428992068,101.464263922352,53.7001540837011,134.181643722787,112.557100797671,21.34686532,521.0851056,7.519265593,411.5550312,5.938745039,0.877271506,60.5483145648821,24.6538752366859,"20%","1p5",13.592438984854
"30%1p5",42.2901729383559,23.376988220604,113.135716309132,-68.6627754955151,101.821417686266,50.2224223319368,142.755949309717,112.889620639755,20.69065853,504.6775855,7.282504841,395.1475111,5.701984287,0.873875618,62.2313833223121,25.7679511640648,"30%","1p5",19.4389822168529
"Noasym2p5",8.81065979211086,2.54583830343082,163.014491389994,-80.5217779020392,167.352069245392,57.3115121279407,139.583254840865,136.057618321499,30.71079819,764.1805907,11.02713695,654.6505163,9.446616397,0.962024796,66.9364328622927,25.5635740106406,"No","2p5",0
"0%2p5",-0.482272741887759,-4.60285479553757,182.51260592392,-66.7576909682496,168.956344048769,51.7562598736485,139.904626917648,146.655974724935,31.88103053,790.1495147,11.4018689,680.6194403,9.821348345,0.944706152,73.2187541794729,24.8239080526846,"0%","2p5",-7.14869309896839
"10%2p5",19.1161754403729,9.70400297129576,214.583366373925,-44.6504899453721,166.807856045178,43.4758499104412,161.604055933642,146.499486813777,31.90902207,788.1564916,11.37310955,678.6264173,9.792588994,0.929523289,82.7759805068145,24.5802184814502,"10%","2p5",7.15816466786494
"20%2p5",25.5247109499219,13.1935862715587,174.505810553889,-66.6207322943529,170.97607287488,54.7006271085181,156.615589614891,137.230455062671,32.11843139,793.2309686,11.44633432,683.7008943,9.86581377,0.928983388,72.3710498614489,25.0074373604458,"20%","2p5",10.6477479681279
"30%2p5",28.014471215067,21.1436240174218,183.746410030024,-59.673148317763,167.711433983392,50.9428331956118,153.924991527699,124.514585862836,31.87121238,789.1678928,11.38770408,679.6378184,9.807183527,0.940105627,75.4854750691378,24.6765894190847,"30%","2p5",18.597785713991
