"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",3.26672254819924,1.47908400153695,73.3973017077013,-83.6558452202034,89.0089838038006,67.7419106585264,111.373484243244,109.742321962037,NA,NA,NA,NA,NA,NA,46.734053499351,NA,"No","1p5",0
"0%1p5",8.41406955912915,7.75213838340371,67.7728506998666,-90.0733895948491,88.1629924787464,72.4605395341724,112.932892597422,104.506831700648,20.698411462503,444.090888753947,7.23275063117178,369.89854218966,6.0244062245873,0.842772906025251,42.9359930102405,23.8343714351656,"0%","1p5",6.27305438186676
"10%1p5",8.86098858068103,8.79404869744794,67.3719304552978,-93.6068868342302,86.9058646366409,71.6290530096655,112.067741125338,102.630551679843,21.8334065935917,467.84746306224,7.61966552218632,393.655116497953,6.41132111560184,0.836941532790661,41.8514259140855,22.0766505995846,"10%","1p5",7.31496469591099
"20%1p5",8.55005505640988,16.6618235768545,63.0952121590265,-101.133300263627,86.1575050961827,75.567059182197,117.954981691469,99.8109542516409,21.3223581049901,456.735604062676,7.4386906199133,382.543257498389,6.23034621332882,0.835262673596541,38.4191582985581,22.5222908540077,"20%","1p5",15.1827395753175
"30%1p5",2.55361486394004,2.17215531769567,84.0783663582264,-69.5147694387398,89.4045691456909,59.4757440762627,113.557472597664,111.118513642492,22.3393739847821,481.453115358949,7.84125595047148,407.260768794662,6.632911543887,0.861786410212517,54.7409660737502,21.9526593269209,"30%","1p5",0.693071316158713
"Noasym2p5",5.04742839744841,12.8382788655448,118.539299463411,-78.5204604574929,142.163095225871,66.8652977524587,127.989004637006,112.552920903026,NA,NA,NA,NA,NA,NA,60.1539855275325,NA,"No","2p5",0
"0%2p5",2.14203232651582,1.05405410083771,112.04050600567,-86.9356850695478,141.953344321636,70.6405071366913,122.942176573519,124.243735709107,30.9753312815107,682.856795116431,11.1214461745347,608.664448552144,9.91310176795023,0.961556253333887,56.3084987204906,23.3221021302143,"0%","2p5",-11.7842247647071
"10%2p5",2.04127615752484,0.372706358942186,110.376598572179,-95.1093312200367,142.252941829638,71.9404303733956,121.287033147326,121.737680404985,32.5351485136237,715.484123287996,11.6528358841693,641.291776723709,10.4444914775848,0.950454530715942,53.7149179429414,22.18224948344,"10%","2p5",-12.4655725066026
"20%2p5",5.02473071383847,8.24791868015266,103.502036278174,-91.9423256479478,142.616178530281,76.9857093340279,113.631515555646,123.403770536254,32.2635407518486,709.94690490928,11.5626531744182,635.754558344993,10.3543087678338,0.953236940006415,52.9572893575194,22.4325845026643,"20%","2p5",-4.59036018539213
"30%2p5",2.53263754738942,0.746316367827608,126.832708181864,-69.7727458621437,141.940425296966,62.5425741512752,122.646872611045,123.573001685399,31.996156136617,705.90748826911,11.4968646297901,631.715141704823,10.2885202232056,0.964782305061817,64.5112867283295,22.4690554217061,"30%","2p5",-12.0919624977172
