"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",18.4886770316979,8.16728676712803,108.1552043003,-71.8084764954159,113.984153111852,58.980246571762,141.242930199761,153.26350033655,NA,NA,NA,NA,NA,NA,60.0983508572885,NA,"No","1p5",0
"0%1p5",17.1390315680099,2.85366776592757,103.579459617343,-70.599296465365,110.157360821087,59.4498113393319,141.927584126098,146.041425157747,22.4376148500836,563.689682760172,7.75364075323483,413.526790469347,5.68812641635965,0.795169043044249,59.4673322664898,26.6385064667902,"0%","1p5",-5.31361900120045
"10%1p5",25.4612495944357,12.6805103865186,97.2726981283547,-78.5357102137856,108.969437746374,62.69984548008,135.62125478958,153.978151138009,23.1417385956905,583.444117227362,8.02536612417279,433.281224936537,5.95985178729761,0.809956260025501,55.3288088127461,25.1498175953355,"10%","1p5",4.51322361939057
"20%1p5",55.050312406498,24.7400018126451,96.1414670423404,-55.6061668468078,103.355659465078,60.2438317576263,111.316219559171,142.728779112646,20.752287669077,522.024068719811,7.18052364126287,371.861176428985,5.11500930438769,0.800473382075628,63.3561555975046,27.7941516932773,"20%","1p5",16.5727150455171
"30%1p5",65.0502448365411,35.6673464465789,94.6196397218703,-74.992177349725,107.271065766044,63.5794433358893,113.211245827807,162.4366148491,22.9624537524601,579.868051401443,7.97617677305974,429.705159110617,5.91066243618456,0.817487962543964,55.7859949592605,24.9638766236991,"30%","1p5",27.5000596794509
"Noasym2p5",2.8550583168582,0.696503073202299,164.181267403484,-87.8687438584764,174.223459130105,59.2245081874479,178.291374743324,179.540226297681,NA,NA,NA,NA,NA,NA,65.1383693979871,NA,"No","2p5",0
"0%2p5",4.14549953793077,2.53191054900997,166.027407046051,-70.4996888863867,175.608124155556,59.0713760290756,168.005797800706,172.282965163353,32.3319641687328,820.352652594447,11.2840805033624,670.189760303621,9.21856616648723,0.837434912721316,70.1938213004888,26.202746528983,"0%","2p5",1.83540747580767
"10%2p5",10.9654146837914,10.1919234661532,157.464821536426,-83.8979908961082,175.573846661474,62.2726065217178,162.31033211688,179.748955110513,32.4775855418365,829.201068113248,11.4057918585041,679.038175822422,9.34027752162891,0.864810516436895,65.239885112973,25.8562556440699,"10%","2p5",9.49542039295089
"20%2p5",34.7587120960122,26.2305482308877,154.669445950992,-83.4421093225538,177.073190008751,64.0737555263377,140.457364249059,182.851535123297,32.5149344188251,831.86628281811,11.4424523083646,681.703390527284,9.37693797148947,0.873492344566014,64.9567156761063,25.975107718298,"20%","2p5",25.5340451576854
"30%2p5",32.9898468209724,36.169843234281,157.884248890232,-66.129542264044,171.379549468578,60.7781102546258,126.064101981037,181.431591682693,32.2554124961497,824.686772026949,11.3436970017462,674.523879736124,9.27818266487103,0.870231581230958,70.4797004133994,25.4074843926389,"30%","2p5",35.4733401610787
