"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",6.87190681950312,7.78436216890183,83.9587884794132,-72.3219444086514,96.6649621546924,64.4574566684447,101.418406943929,109.693104443091,NA,NA,NA,NA,NA,NA,53.7230578126021,NA,"No","1p5",0
"0%1p5",3.31715025599152,1.54478593449803,88.7588176467223,-62.9001956949388,93.7363165867579,59.152981627704,111.896906581532,112.756158283526,20.698411462503,444.090888753947,7.23275063117178,369.89854218966,6.0244062245873,0.842772906025251,58.5252506204589,25.3410884054514,"0%","1p5",-6.2395762344038
"10%1p5",29.8242778985241,5.46953444818921,73.5878752999667,-70.5955634511585,88.8467888366394,67.3685175930989,101.513573776199,96.1382790346652,21.8334065935917,467.84746306224,7.61966552218632,393.655116497953,6.41132111560184,0.836941532790661,51.0376752956951,22.5697025424288,"10%","1p5",-2.31482772071262
"20%1p5",9.24846952157297,10.6732401971338,87.8779913954826,-66.6754386591932,94.4996094622437,60.2571254047341,106.970432883371,119.031920188587,21.3223581049901,456.735604062676,7.4386906199133,382.543257498389,6.23034621332882,0.835262673596541,56.8592954322621,24.7029865537865,"20%","1p5",2.88887802823194
"30%1p5",69.7269069113937,23.1933244316139,79.3265069168751,-66.8256200610305,94.4940578876939,66.5191295651159,84.600424982276,106.789046553784,22.3393739847821,481.453115358949,7.84125595047148,407.260768794662,6.632911543887,0.861786410212517,54.2766694930599,23.2023472742932,"30%","1p5",15.4089622627121
"Noasym2p5",7.55922249062944,10.4711154588352,128.818874762948,-93.4640853168326,155.69939872703,67.5340546170402,121.335149238249,134.760963317915,NA,NA,NA,NA,NA,NA,57.9526540031287,NA,"No","2p5",0
"0%2p5",9.47417520179667,2.1211366632762,122.454566831055,-92.7126369672445,153.83073263769,70.1586204679113,124.814746377197,127.507233022353,30.9753312815107,682.856795116431,11.1214461745347,608.664448552144,9.91310176795023,0.961556253333887,56.911352970802,25.2734873876096,"0%","2p5",-8.349978795559
"10%2p5",8.19121303368838,1.6674551585278,116.352496111769,-95.1966567227871,148.433167828138,71.1715998100517,124.271834621395,122.212478014357,32.5351485136237,715.484123287996,11.6528358841693,641.291776723709,10.4444914775848,0.950454530715942,55.0002184139037,23.1459646319601,"10%","2p5",-8.80366030030741
"20%2p5",23.6303685199452,4.9709020088932,122.91470891639,-96.1460283344855,155.277220066284,70.4766960317835,115.269378118184,121.126393790348,32.2635407518486,709.94690490928,11.5626531744182,635.754558344993,10.3543087678338,0.953236940006415,56.1098764018237,24.4240828521158,"20%","2p5",-5.50021344994201
"30%2p5",17.2788089650926,20.5981837367978,132.013536973662,-82.6437338256376,154.082394911319,65.2770421990332,114.27590971195,140.467087199345,31.996156136617,705.90748826911,11.4968646297901,631.715141704823,10.2885202232056,0.964782305061817,61.499681087948,24.3911194681028,"30%","2p5",10.1270682779626
