"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",2.11173253308683,9.52362806370985,72.5373416265769,-112.434187431133,101.274762916959,77.9640229203738,123.990317971241,136.381478953485,NA,NA,NA,NA,NA,NA,39.2154089854259,NA,"No","1p5",0
"0%1p5",5.41714199683549,10.4021271831135,81.8092692656393,-91.2378519165603,103.489902852931,70.6887599148891,124.527631585451,138.188374530211,20.611818883733,557.508324785365,8.2228366487517,401.940600823542,5.92832744577496,0.821002369125684,47.2757181435588,25.7475613662539,"0%","1p5",0.878499119403635
"10%1p5",5.29601850993503,16.5001373247144,84.4406926760769,-75.4621744145612,103.624355184585,68.6289868105995,119.555398088493,141.03866347932,21.1005997618661,565.078251048923,8.33448747859768,409.5105270871,6.03997827562094,0.777654598156611,52.8074913304795,25.3044423355067,"10%","1p5",6.97650926100452
"20%1p5",16.9104954645091,18.530071782399,72.2968661205201,-101.168924527171,100.887786328721,77.9641277155359,117.770887618169,141.821243924915,21.9732112046086,590.111193303433,8.70370491597983,434.54346934161,6.4091957130031,0.789807369311651,41.6778811837055,23.2169606602487,"20%","1p5",9.0064437186892
"30%1p5",50.7198584787631,27.8357803888654,71.5272478388898,-94.0067822951325,101.669247317303,79.2749744245708,105.533159504331,139.669096633217,23.0377462743065,622.897917458581,9.18728491826815,467.330193496758,6.89277571529141,0.819378366072973,43.2099960237655,21.7553346075441,"30%","1p5",18.3121523251555
"Noasym2p5",5.31585239317874,11.1885955214141,122.104131678486,-105.011716099837,167.808744027886,76.7254077147965,143.008929769421,159.949801624828,NA,NA,NA,NA,NA,NA,53.7629288633639,NA,"No","2p5",0
"0%2p5",5.93389089797849,7.05606618379714,127.957919621346,-86.9513628963913,169.317928324589,73.883156166127,150.428932577433,161.412543301975,30.5366897817545,828.105685112377,12.2139481579997,672.537961150554,9.91943895502292,0.832713815073172,59.540434048392,25.1759659833813,"0%","2p5",-4.13252933761701
"10%2p5",18.169001374749,8.37806937232062,118.9037104147,-109.628178926819,168.814676928694,79.2157712604904,140.928063861465,153.255920118323,30.6599026016315,833.261877083116,12.2899981870666,677.694153121293,9.99548898408987,0.842018167177836,52.029373562396,24.9101569124029,"10%","2p5",-2.81052614909352
"20%2p5",15.1781013351119,22.7354618332803,128.100474078699,-87.0559316284961,171.036186208292,74.5988797480661,136.51702265703,171.536928064238,30.2360333700841,821.579195043279,12.1176872425262,666.011471081456,9.8231780395495,0.840130316714446,59.5383036157567,25.6806667204345,"20%","2p5",11.5468663118662
"30%2p5",29.1482285686609,30.2247068860252,122.862785834941,-87.0620495649888,170.061123542602,77.3952342209897,129.5762604812,175.712948197867,31.085605590026,844.840629357431,12.4607762442099,689.272905395608,10.1662670412332,0.841088061531385,58.5270368800689,24.6725385854236,"30%","2p5",19.0361113646111
