"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",-3.65460895382734,2.55527100515099,81.7769169813022,-97.7918260890802,113.84331831095,77.8912436522973,127.879839770908,124.64224876065,NA,NA,NA,NA,NA,NA,45.5407302980617,NA,"No","1p5",0
"0%1p5",-23.4097181562693,0.851342867943538,77.9657218194699,-87.8511003626438,111.853534039673,80.2790991105184,113.909158342252,112.924474185884,24.04817283,600.4719289,8.351487189,512.4026574,7.126601633,0.815894867,47.0191870724923,21.8292259855234,"0%","1p5",-1.70392813720746
"10%1p5",-4.01802089391135,17.822575726794,74.0544184739957,-104.200868497416,109.352816526421,82.4437684377396,129.461515493684,108.306473535424,24.10286231,599.73767,8.341274965,511.6683986,7.11638941,0.800628851,41.5440235923394,21.3718136249232,"10%","1p5",15.267304721643
"20%1p5",31.2349967156248,21.415929270988,74.4775198022644,-100.38153852622,107.532492243739,80.6068335831868,137.999171441562,111.373173376261,23.71897501,591.0457909,8.220386522,502.9765195,6.995500967,0.80675894,42.5928862446197,21.3792270761734,"20%","1p5",18.860658265837
"30%1p5",19.8414026177379,23.7890864802233,72.5402362697632,-107.136979898491,109.734897566815,84.404738115708,137.943695664572,108.647850645039,24.94144222,620.5677251,8.63098366,532.4984537,7.406098105,0.800818317,40.3725290366447,20.6075523420463,"30%","1p5",21.2338154750723
"Noasym2p5",-2.83528467883128,6.68259374055205,124.14991731459,-106.95655739974,183.300282112945,82.4487212626527,141.012241699813,131.911235234227,NA,NA,NA,NA,NA,NA,53.7197919132518,NA,"No","2p5",0
"0%2p5",-6.82152969052891,8.03093415169146,123.925782187488,-100.156599151635,181.896390595592,82.0135169923348,138.304753949225,127.65127521671,33.86907117,854.4482167,11.88384168,766.3789453,10.65895612,0.860270453,55.3036706620591,23.7345234640271,"0%","2p5",1.34834041113941
"10%2p5",10.2156752029041,9.91788151606838,130.57668224655,-90.9774586623125,182.387725218602,78.0108454421755,154.030199157109,139.477306103246,34.21577598,863.5561132,12.01051618,775.4868418,10.78563062,0.862357428,58.9366922734536,23.5191257140169,"10%","2p5",3.23528777551633
"20%2p5",4.67359403381935,13.5933675072141,126.447724791715,-109.063189050842,184.02476222262,81.264804206201,155.377767721008,135.591578198052,33.99751576,858.5422632,11.94078252,770.4729918,10.71589696,0.864480577,53.6908131893402,23.8846480254547,"20%","2p5",6.91077376666206
"30%2p5",18.5765529956799,21.3767725065336,127.132725039757,-91.0339303836473,181.004868250959,79.4700966018503,156.603811743827,126.365429023173,33.87563722,860.537468,11.96853224,772.4681966,10.74364668,0.890232831,58.2732153972043,23.4320155894634,"30%","2p5",14.6941787659815
