"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",7.0088027665561,1.37500998564683,101.638408648775,-93.5994791567761,111.716065009418,61.3808193985664,132.486352792776,133.727320877796,NA,NA,NA,NA,NA,NA,52.0587524230966,NA,"No","1p5",0
"0%1p5",2.47429027027985,0.821270170543512,94.9999621570529,-91.0293976443089,110.273731651771,64.8508364130273,131.437721972853,132.447857804445,21.0467270856041,534.435739817719,7.40215706118724,426.652778232367,5.90931825806602,0.870220544437567,51.067187597964,25.846247177538,"0%","1p5",-0.553739815103316
"10%1p5",7.46289245311738,6.36170496345578,90.6669614137142,-104.691048905353,112.684592536979,69.2732078716073,139.993207984176,131.362009110759,21.984581494917,559.257206560837,7.74594468920827,451.474244975485,6.25310588608705,0.878249607980251,46.4106699621033,24.9592515610936,"10%","1p5",4.98669497780895
"20%1p5",19.0816280618804,14.0361366359938,84.1353131425238,-115.588748694616,109.390064277463,72.2530302809635,140.529816826334,122.085202037763,22.3123249318645,563.65122009731,7.80680360245582,455.868258511958,6.3139647993346,0.847887945671876,42.1257771189983,23.9959817852932,"20%","1p5",12.6611266503469
"30%1p5",58.9047561605879,28.7847956030926,84.8138901098516,-111.201293287381,108.609685440323,70.8809205145858,147.11505465424,110.095467170057,23.6889580409436,595.368981666035,8.24610777930796,487.586020080683,6.75326897618675,0.825679322083791,43.2690410201402,22.2749793815564,"30%","1p5",27.4097856174458
"Noasym2p5",10.4420609517314,2.05938113768881,148.135213113269,-125.638281889482,181.109662381647,68.1027150648441,157.583752788015,160.82195924128,NA,NA,NA,NA,NA,NA,54.1086759007773,NA,"No","2p5",0
"0%2p5",8.38679491162826,2.06469137057008,151.087529708451,-113.324838514919,179.838655690782,66.3387092214536,158.193131419991,159.178299467572,31.8504813559954,830.042423937056,11.4964324645022,722.259462351704,10.0035936613809,0.98541030784448,57.1408708010268,24.8994530449238,"0%","2p5",0.00531023288126686
"10%2p5",2.66621124539274,4.6798029013712,144.985645894982,-120.652808287048,180.077542682364,68.9688668722287,163.103572092984,155.639062259744,32.7203645386281,850.481583611833,11.7795233187234,742.698622026481,10.2866845156022,0.973308856288592,54.580066858705,24.2463816872334,"10%","2p5",2.62042176368239
"20%2p5",2.17439483954875,6.31398515684248,152.659029412307,-117.068466512873,180.26166934688,65.58853814764,166.308956368998,156.132048208914,33.0870465757415,854.91545169221,11.8409342339641,747.132490106858,10.3480954308429,0.946914628148079,56.5975036726153,24.1271356464632,"20%","2p5",4.25460401915368
"30%2p5",7.18567716096856,10.3875413648116,145.377869204201,-126.816203596349,179.767093122437,68.6350362213702,166.401865990492,150.020491518101,32.7682366825753,854.969403293398,11.8416814860581,747.186441708046,10.3488426829369,0.990470392008623,53.4096380969788,24.0592017049312,"30%","2p5",8.32816022712283
