"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",16.4475659768499,11.6102452799044,101.412291189672,-103.836809560015,110.408426373718,60.9967375990248,142.048485352254,159.502574443496,NA,NA,NA,NA,NA,NA,49.4093717435334,NA,"No","1p5",0
"0%1p5",9.50825904488296,1.11794101684626,88.3391470156435,-107.489971084477,110.004532107772,69.4939136384525,144.359812110206,145.40466800821,23.4183494543933,582.704564146698,8.1840528672289,493.196992590661,6.92692405323962,0.842618788282076,45.1103226489939,22.3043801483746,"0%","1p5",-10.4923042630581
"10%1p5",42.7772428216816,11.5468012152748,84.2219480609041,-114.548567015135,105.502289407522,70.1205338041591,136.424203152754,153.102050826285,24.3530754141614,603.464048196872,8.47561865445045,513.956476640836,7.21848984046118,0.825009467701117,42.371449321186,20.5274754191394,"10%","1p5",-0.0634440646295644
"20%1p5",35.7133422215483,11.6355800760363,77.4860583936489,-128.112269005084,106.530157252625,76.8254192002,142.043041387403,159.604136507008,25.4300813901344,627.597045173248,8.8145652411973,538.089473617211,7.55743642720803,0.807779230177402,37.6880781930556,19.7978519327827,"20%","1p5",0.0253347961318902
"30%1p5",78.596582632866,23.0698627907303,76.190115799858,-119.797878584963,106.622596784953,78.0061569308901,122.66532220053,154.652756169847,25.6523545714237,641.833860437903,9.0145205117683,552.326288881867,7.75739169777903,0.866824423273404,38.8748892701352,19.3042770064052,"30%","1p5",11.459617510826
"Noasym2p5",7.77724491727916,7.49955558768953,126.747359072268,-153.217891289072,179.503666121405,78.8022988295824,155.256309198775,167.386875870457,NA,NA,NA,NA,NA,NA,45.2725325406207,NA,"No","2p5",0
"0%2p5",2.33563661845985,2.70570526895729,126.40135462202,-159.373739598516,179.299060188781,79.0099116147691,165.042498399996,169.599999650532,34.6334944026677,886.387801466717,12.4492668745325,796.88022991068,11.1921380605433,0.966712740560373,44.2310604312056,22.5001265508718,"0%","2p5",-4.79385031873224
"10%2p5",20.8215598112655,2.26994697713456,125.262469584597,-147.127897441824,176.85107908118,78.6056973951492,166.682146057745,162.940231823913,NA,NA,NA,NA,NA,NA,45.9863801176373,NA,"10%","2p5",-5.22960861055498
"20%2p5",32.225462806521,16.0621717034823,129.963975691949,-146.729014015753,172.191375126104,73.9917768644774,155.206827190883,182.288295968264,35.4264405034691,903.416938918224,12.6884401533458,813.909367362188,11.4313113393566,0.950427594392196,46.9704620378141,21.1560871555223,"20%","2p5",8.56261611579274
"30%2p5",6.55398934403962,9.05914262594076,128.381111181349,-153.528439714858,176.241384015216,76.4592418695698,163.689790140531,179.221138773208,36.8130760308707,937.179641043147,13.1626354079094,847.67206948711,11.9055065939201,0.943085479239623,45.5398232423194,20.7912222614403,"30%","2p5",1.55958703825122
