"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",11.2134135279494,7.59443290238801,95.9036309550758,-105.359734268378,111.868408853226,65.2604620990165,135.195462520888,145.890117427523,NA,NA,NA,NA,NA,NA,47.6508135738455,NA,"No","1p5",0
"0%1p5",4.16708897332677,2.28474430660112,88.6248142156193,-119.634089057676,109.008557724621,68.6488496784464,141.129968044758,143.184802914849,21.8498964724333,585.53456628409,7.75542471899457,456.244105726102,6.04296828776295,0.911728477996329,42.5551142460969,23.8925952919734,"0%","1p5",-5.30968859578688
"10%1p5",38.3874024418217,15.2454935963868,87.3437768504582,-117.129949477245,107.592030981007,68.9797182421103,132.488978196047,154.383311275732,22.1455191771189,587.209911545118,7.77761472245189,457.91945098713,6.06515829122027,0.864917700489362,42.7163814242205,23.4958420632869,"10%","1p5",7.65106069399877
"20%1p5",34.842783321305,16.9315364521817,82.0490415220264,-122.923290362515,106.10327178419,72.4866109918968,129.070093332954,152.92889489002,22.0852388540904,588.32369657937,7.79236684211086,459.033236021383,6.07991041087924,0.884581670165062,40.0293253082781,23.1145075036021,"20%","1p5",9.33710354979373
"30%1p5",32.7602931087875,16.9002703343194,84.4128829992399,-123.611675098303,108.123804037833,71.8463500322949,130.832265955066,155.022461717492,23.5305946667989,622.8314390911,8.2494230343192,493.540978533112,6.53696660308758,0.857059774299463,40.5783258338463,21.9077662728625,"30%","1p5",9.3058374319314
"Noasym2p5",9.16307275111921,6.80057055894933,149.755806044487,-123.607313873772,180.074410554573,67.0952164581131,160.574203334079,171.880474945101,NA,NA,NA,NA,NA,NA,54.7827395624059,NA,"No","2p5",0
"0%2p5",1.98363024060661,2.00507287920591,145.021412105684,-135.755106074262,180.598650064844,69.3924024832472,168.69468565799,172.141215193425,33.0449083646139,888.513670059542,11.7683929809211,759.223209501555,10.0559365496895,0.927149881919225,51.6501212586238,23.7872930917656,"0%","2p5",-4.79549767974342
"10%2p5",7.73805037547731,10.3090581927904,139.262524526588,-142.587204153359,181.494777500583,72.6931466056009,158.857410819355,176.123582547265,33.8008583068848,905.422793668906,11.9923548830319,776.132333110919,10.2798984518002,0.909765360355377,49.4102035076737,23.3845144388084,"10%","2p5",3.5084876338411
"20%2p5",2.30050163297303,18.2007662746022,137.049836583735,-145.796998393015,179.76629073981,73.2805071682549,148.609679602279,178.362807004943,33.6729653399924,900.595148034718,11.9284125567512,771.30468747673,10.2159561255196,0.902177183524422,48.4537281794228,23.3067805315566,"20%","2p5",11.4001957156528
"30%2p5",31.3785087649378,22.5305205991262,123.724311553842,-157.96595041832,176.028337423487,79.5351116613602,143.512980225406,179.918473740572,32.3120480378469,872.113516918487,11.5511724095164,742.8230563605,9.83871597828476,0.94172091037035,43.9221117150544,23.6972097077798,"30%","2p5",15.7299500401769
